SITE_URL,ASSET_URI,CURRENT_BID,CLOSING_DATE_UTC,LOCATION,MAP_URL,MAKE/BRAND,MODEL,YEAR,MILES,VIN/SERIAL,LOT#,CONDITION,INVENTORY_ID,SELLER,ASSET_CONTACT,EMAIL,PHONE,ITEM_LOCATION,ACCOUNT_TYPE,TITLE_RESTRICTION,KILOMETERS
http://govdeals.com,/asset/15001/7167,10.0,2024-12-18T14:45:00Z,"Doral, Florida, USA","http://maps.google.com/maps?q=25.826218,+-80.340668+(8801 NW 58th St)",Ford,Taurus,2017,"71,997.00 (Accurate?: Yes)",1FAHP2L8XHG122692,7167-15001,Used/See Description,4685A,"Miami-Dade County, FL",,,,"8801 NW 58th St, Entrance Is on 87th Avenue, Doral, Florida, 33178-1603, USA",Government,,
http://govdeals.com,/asset/15000/7167,100.0,2024-12-18T14:45:00Z,"Doral, Florida, USA","http://maps.google.com/maps?q=25.826218,+-80.340668+(8801 NW 58th St)",Ford,Taurus,2017,"71,997.00 (Accurate?: Yes)",1FAHP2L84HG122686,7167-15000,Used/See Description,4658A,"Miami-Dade County, FL",,,,"8801 NW 58th St, Entrance Is on 87th Avenue, Doral, Florida, 33178-1603, USA",Government,,
http://govdeals.com,/asset/878/6355,575.0,2024-12-18T14:45:00Z,"Sinton, Texas, USA","http://maps.google.com/maps?q=28.028427,+-97.513867+(219 W 5th St)",Ford,Taurus,2017,"168,142.00 (Accurate?: Yes)",1FAHP2MK2HG105623,6355-878,Used/See Description,Lot 45 2017 Taurus,,,,,"219 W 5th St, Sinton, Texas, 78387-3708, USA",Government,Clean Title,
http://govdeals.com,/asset/15005/7167,500.0,2024-12-18T14:45:00Z,"Doral, Florida, USA","http://maps.google.com/maps?q=25.826218,+-80.340668+(8801 NW 58th St)",Ford,Taurus,2018,"110,830.00 (Accurate?: Yes)",1FAHP2L86JG128043,7167-15005,Used/See Description,5778A,"Miami-Dade County, FL",,,,"8801 NW 58th St, Entrance Is on 87th Avenue, Doral, Florida, 33178-1603, USA",Government,,
http://govdeals.com,/asset/43/8642,1100.0,2024-12-18T14:45:00Z,"Chattahoochee Hills, Georgia, USA","http://maps.google.com/maps?q=33.577423,+-84.768328+(6505 Rico Rd)",Ford,Taurus,2014,"127,946.00 (Accurate?: Yes)",1FAHP2L83EG105356,8642-43,Used/See Description,,"Chattahoochee Hills, GA",,,,"6505 Rico Rd, Chattahoochee Hills, Georgia, 30268-2064, USA",Government,Clean Title,
http://govdeals.com,/asset/720/10478,1000.0,2024-12-18T14:45:00Z,"Fairmont, West Virginia, USA","http://maps.google.com/maps?q=39.48063,+-80.14686+(320 Lafayette St)",Ford,Taurus,2015,"160,279.00 (Accurate?: Yes)",1FAHP2MK5FG142596,10478-720,Used/See Description,,"West Virginia State Police, WV",,,,"320 Lafayette St, , Fairmont, West Virginia, 26554-3543, USA",Government,Clean Title,
http://govdeals.com,/asset/147/5733,1500.0,2024-12-18T14:45:00Z,"Waterford, Connecticut, USA","http://maps.google.com/maps?q=41.341924,+-72.133404+(15 Rope Ferry Rd)",Ford,Taurus,2019,"133,970.00 (Accurate?: Yes)",1FAHP2MK8KG106444,5733-147,Used/See Description,101657,"Waterford, CT",,,,"15 Rope Ferry Rd, Waterford, Connecticut, 06385-2806, USA",Government,Clean Title,
http://govdeals.com,/asset/2/27806,600.0,2024-12-18T14:45:00Z,"Montpelier, Indiana, USA","http://maps.google.com/maps?q=40.555007,+-85.280931+(300 W Huntington St)",Ford,Taurus,2013,"131,670.00 (Accurate?: Yes)",1FAHP2L82DG177678,27806-2,Used/See Description,,"Montpelier, IN",,,,"300 W Huntington St, Montpelier, Indiana, 47359-1006, USA",Government,Clean Title,
http://govdeals.com,/asset/15018/7167,10.0,2024-12-18T14:45:00Z,"Doral, Florida, USA","http://maps.google.com/maps?q=25.826218,+-80.340668+(8801 NW 58th St)",Ford,Taurus,2016,"69,082.00 (Accurate?: Yes)",1FAHP2L88GG154247,7167-15018,Used/See Description,4623A,"Miami-Dade County, FL",,,,"8801 NW 58th St, Entrance Is on 87th Avenue, Doral, Florida, 33178-1603, USA",Government,,
http://govdeals.com,/asset/108/6122,100.0,2024-12-18T14:45:00Z,"Trumbull, Connecticut, USA","http://maps.google.com/maps?q=41.249216,+-73.207637+(366 Church Hill Rd)",Ford,Taurus,2006,,1FAFP53U86A152795,6122-108,Scrap,Asset 2795-2006-Ford-2795,"Trumbull, CT",Kevin Bova,kbova@trumbull-ct.gov,+12034525042,"366 Church Hill Rd, Trumbull, Connecticut, 06611-3820, USA",Government,Yes: Other (See Description),
http://govdeals.com,/asset/684/7193,500.0,2024-12-18T14:45:00Z,"Ogden, Utah, USA","http://maps.google.com/maps?q=41.212353,+-111.980025+(175 W 29th St)",Ford,Taurus,2013,"106,943.00 (Accurate?: Yes)",1FAHP2L83DG123449,7193-684,Used/See Description,12054,"Ogden City, UT",,,,"175 W 29th St, Ogden, Utah, 84401-3534, USA",Government,Clean Title,
http://govdeals.com,/asset/405/3111,625.0,2024-12-18T14:45:00Z,"Fuquay Varina, North Carolina, USA","http://maps.google.com/maps?q=35.571276,+-78.770162+(1415 Holland Rd)",Ford,Taurus,2014,"125,974.00 (Accurate?: Yes)",1FAHP2MK1EG122053,3111-405,Used/See Description,PR 56,"Fuquay-Varina, NC",James Jordan,jjordan@fuquay-varina.org,+19198686005,"1415 Holland Rd, Fuquay Varina, North Carolina, 27526-7894, USA",Government,Clean Title,
http://govdeals.com,/asset/8017/5389,100.0,2024-12-18T14:45:00Z,"Jacksonville, Florida, USA","http://maps.google.com/maps?q=30.337936,+-81.705529+(1096 North McDuff Ave )",Ford,Taurus,2017,"149,406.00 (Accurate?: Unknown)",1FAHP2MK7HG122742,5389-8017,Used/See Description,8017 303865 2260 51102,,Rodney Booker,rbooker@coj.net,+19042556638,"1096 North McDuff Ave , Jacksonville, Florida, 32254-2031, USA",Government,Clean Title,
http://govdeals.com,/asset/1476/11984,525.0,2024-12-18T14:45:00Z,"Providence, Rhode Island, USA","http://maps.google.com/maps?q=41.8391,+-71.4361+(1 Capitol Hl)",Ford,Taurus,2007,"171,613.00 (Accurate?: Yes)",1FAFP53U77A120731,11984-1476,Used/See Description,23988,State of Rhode Island,,,,"1 Capitol Hl, , Providence, Rhode Island, 02908-5816, USA",Government,,
http://govdeals.com,/asset/8019/5389,211.0,2024-12-18T14:45:00Z,"Jacksonville, Florida, USA","http://maps.google.com/maps?q=30.337936,+-81.705529+(1096 North McDuff Ave )",Ford,Taurus,2017,"117,279.00 (Accurate?: Unknown)",1FAHP2MK3HG130031,5389-8019,Used/See Description,8019 303867 2422 51102,,Rodney Booker,rbooker@coj.net,+19042556638,"1096 North McDuff Ave , Jacksonville, Florida, 32254-2031, USA",Government,Clean Title,
http://govdeals.com,/asset/1451/11984,240.0,2024-12-18T14:45:00Z,"Providence, Rhode Island, USA","http://maps.google.com/maps?q=41.8391,+-71.4361+(1 Capitol Hl)",Ford,Taurus,2005,"29,159.00 (Accurate?: Unknown)",1FAFP53U15A279483,11984-1451,Used/See Description,23890,State of Rhode Island,,,,"1 Capitol Hl, , Providence, Rhode Island, 02908-5816, USA",Government,Clean Title,
http://govdeals.com,/asset/761/44,2599.99,2024-12-18T14:45:00Z,"Montgomery, Alabama, USA","http://maps.google.com/maps?q=32.373887,+-86.307224+(200 Scott St)",Ford,Taurus,2018,"153,006.00 (Accurate?: Yes)",1FAHP2MK7JG105977,44-761,Used/See Description,6579,"Montgomery County Commission, AL",Kirk Harbin,KirkHarbin@mc-ala.org,+13348327117,"200 Scott St, , Montgomery, Alabama, 36104, USA",Government,Clean Title,
http://govdeals.com,/asset/685/7193,2025.0,2024-12-18T14:45:00Z,"Ogden, Utah, USA","http://maps.google.com/maps?q=41.212353,+-111.980025+(175 W 29th St)",Ford,Taurus,2013,"77,770.00 (Accurate?: Yes)",1FAHP2L80DG123442,7193-685,Used/See Description,12047,"Ogden City, UT",,,,"175 W 29th St, Ogden, Utah, 84401-3534, USA",Government,Clean Title,
http://govdeals.com,/asset/1/27532,1500.0,2024-12-18T14:45:00Z,"Ottoville, Ohio, USA","http://maps.google.com/maps?f=q&hl=en&q=150 Park Drive,+Ottoville,+OH+45876",Ford,Taurus,2013,"70,353.00 (Accurate?: Yes)",1FAHP2M81DG212841,27532-1,Used/See Description,,"Ottoville Village, OH",,,,"150 Park Drive, Ottoville, Ohio, 45876, USA",Government,Clean Title,
http://govdeals.com,/asset/4195/19,535.0,2024-12-18T14:45:00Z,"Chesterfield, Virginia, USA","http://maps.google.com/maps?q=37.38041305541992,+-77.50691223144531+(9700 Lori Ln)",Ford,Taurus,2014,"108,054.00 (Accurate?: Yes)",1FAHP2MK6EG148681,19-4195,Used/See Description,14047,"Chesterfield County, VA",,,,"9700 Lori Ln, , Chesterfield, Virginia, 23832, USA",Government,Clean Title,
http://govdeals.com,/asset/133/24442,3100.0,2024-12-18T14:45:00Z,"San Luis Obispo, California, USA","http://maps.google.com/maps?q=35.321482,+-120.723706+(1355A Kansas Ave)",Ford,Taurus,2011,"68,579.00 (Accurate?: Yes)",1FAHP2DW0BG157732,24442-133,Used/See Description,1632,"San Luis Obispo County, CA",,,,"1355A Kansas Ave, San Luis Obispo, California, 93405-7610, USA",Government,Clean Title,
http://govdeals.com,/asset/5209/4923,800.0,2024-12-18T14:45:00Z,"Oklahoma City, Oklahoma, USA","http://maps.google.com/maps?q=35.468155,+-97.521246+(100 N Walker Ave)",Ford,Taurus Interceptor FWD,2015,"127,460.00 (Accurate?: Yes)",1FAHP2L89FG135964,4923-5209,Used/See Description,1513097,"Oklahoma City, OK",Sherry Cochran-Schmees,sherry.cochranschmees@okc.gov,+14052973138,"100 N Walker Ave, Oklahoma City, Oklahoma, 73102-2230, USA",Government,,
http://govdeals.com,/asset/47207/8149,720.0,2024-12-18T14:45:00Z,"Denver, Colorado, USA","http://maps.google.com/maps?q=39.794295,+-104.901488+(5440 Roslyn St)",Ford,Taurus Police Interceptor,2013,"78,931.00 (Accurate?: Yes)",1FAHP2M89DG127083,8149-47207,Used/See Description,A3003,"Denver City and County, CO",,,,"5440 Roslyn St, Building A, Denver, Colorado, 80216-6002, USA",Government,Clean Title,
http://govdeals.com,/asset/47205/8149,920.0,2024-12-18T14:45:00Z,"Denver, Colorado, USA","http://maps.google.com/maps?q=39.794295,+-104.901488+(5440 Roslyn St)",Ford,Taurus Police Interceptor,2014,"139,926.00 (Accurate?: Yes)",1FAHP2MK3EG120269,8149-47205,Used/See Description,A4329,"Denver City and County, CO",,,,"5440 Roslyn St, Building A, Denver, Colorado, 80216-6002, USA",Government,Clean Title,
http://govdeals.com,/asset/220/22193,600.0,2024-12-18T14:45:00Z,"Saint Augustine, Florida, USA","http://maps.google.com/maps?q=29.940184,+-81.337633+(4015 Lewis Speedway)",Ford,Taurus,2015,"120,954.00 (Accurate?: )",1FAHP2MK8FG133715,22193-220,Used/See Description,INV: FLEET 590,"St Johns County Sheriff's Office, FL",,,,"4015 Lewis Speedway, Saint Augustine, Florida, 32084-8611, USA",Government,,
http://govdeals.com,/asset/40/967,100.0,2024-12-18T14:45:00Z,"Isle Of Palms, South Carolina, USA","http://maps.google.com/maps?q=32.785857,+-79.789711+(30 J C Long Blvd)",Ford,Taurus,2017,,1FAHP2MK6HG119055,967-40,Used/See Description,515,,,,,"30 J C Long Blvd, Isle Of Palms, South Carolina, 29451-2282, USA",Government,,
http://govdeals.com,/asset/63/8472,30.0,2024-12-18T14:45:00Z,"Montgomery, Illinois, USA","http://maps.google.com/maps?q=41.7216,+-88.3538+(991 Knell St)",Ford,Taurus Police AWD,2019,"103,066.00 (Accurate?: Yes)",1FAHP2MK8KG105911,8472-63,Used/See Description,891,"Montgomery Village, IL",Mark Wolf,mwolf@montgomeryil.org,+13312129043,"991 Knell St, Montgomery, Illinois, 60538, USA",Government,Clean Title,
http://govdeals.com,/asset/64/8472,402.0,2024-12-18T14:45:00Z,"Montgomery, Illinois, USA","http://maps.google.com/maps?q=41.7216,+-88.3538+(991 Knell St)",Ford,Taurus Police AWD,2019,"96,337.00 (Accurate?: Yes)",1FAHP2MK3KG112183,8472-64,Used/See Description,893,"Montgomery Village, IL",Mark Wolf,mwolf@montgomeryil.org,+13312129043,"991 Knell St, Montgomery, Illinois, 60538, USA",Government,Clean Title,
http://govdeals.com,/asset/65/8472,72.0,2024-12-18T14:45:00Z,"Montgomery, Illinois, USA","http://maps.google.com/maps?q=41.7216,+-88.3538+(991 Knell St)",Ford,Taurus Police AWD,2017,"101,435.00 (Accurate?: Yes)",1FAHP2MK3HG133964,8472-65,Used/See Description,8972,"Montgomery Village, IL",Mark Wolf,mwolf@montgomeryil.org,+13312129043,"991 Knell St, Montgomery, Illinois, 60538, USA",Government,,
http://govdeals.com,/asset/406/3111,550.0,2024-12-18T14:45:00Z,"Fuquay Varina, North Carolina, USA","http://maps.google.com/maps?q=35.571276,+-78.770162+(1415 Holland Rd)",Ford,Taurus,2015,"121,850.00 (Accurate?: Yes)",1FAHP2MKXFG110694,3111-406,Used/See Description,PR 57,"Fuquay-Varina, NC",James Jordan,jjordan@fuquay-varina.org,+19198686005,"1415 Holland Rd, Fuquay Varina, North Carolina, 27526-7894, USA",Government,Clean Title,
http://govdeals.com,/asset/125/9720,1275.0,2024-12-18T14:45:00Z,"Alliance, Ohio, USA","http://maps.google.com/maps?q=40.92177,+-81.09824+(504 E Main St)",Ford,Taurus,2018,"112,815.00 (Accurate?: Yes)",1FAHP2MT5JG131230,9720-125,Used/See Description,,"Alliance, OH",Jennifer Merriman,Merrimanja@allianceoh.gov,+13308292235,"504 E Main St, Alliance, Ohio, 44601-2400, USA",Government,,
http://govdeals.com,/asset/5617/23260,110.0,2024-12-18T14:45:00Z,"Henrico, Virginia, USA","http://maps.google.com/maps?q=37.494319,+-77.375791+(1910 Darbytown Rd)",FORD,TAURUS,2017,,1FAHP2D84HG108866,23260-5617,Used/See Description,194-0603-09999,,,,,"1910 Darbytown Rd, Henrico, Virginia, 23231-5312, USA",Government,,
http://govdeals.com,/asset/1396/433,2419.0,2024-12-18T14:45:00Z,"New Orleans, Louisiana, USA","http://maps.google.com/maps?q=29.99699,+-90.03009+(3800 Alvar St)",Ford,Taurus,2018,"60,000.00 (Accurate?: Unknown)",1FAHP2L84JG112617,433-1396,Used/See Description,APOL18039,,,,,"3800 Alvar St, , New Orleans, Louisiana, 70126-5504, USA",Government,Clean Title,
http://govdeals.com,/asset/1008/2052,100.0,2024-12-18T14:45:00Z,"Delray Beach, Florida, USA","http://maps.google.com/maps?q=26.453721,+-80.072966+(434 S Swinton Ave)",Ford,Taurus,2013,"72,171.00 (Accurate?: Yes)",1FAHP2M88DG148684,2052-1008,Used/See Description,PD-1306,,Andrew Rayfield,rayfield@mydelraybeach.com,+15612437333,"434 S Swinton Ave, Delray Beach, Florida, 33444-3553, USA",Government,Yes: No Title,
